Date,Total Sales,Number of Transactions,Total Hours Worked,Number of Staff
2022-05-26,4997,270,62,17
2022-05-27,743,281,66,9
2022-05-28,3081,157,119,13
2022-05-29,3715,153,63,14
2022-05-30,3300,149,61,8
2022-05-31,2181,208,156,6
2022-06-01,3547,294,89,11
2022-06-02,1297,219,50,9
2022-06-03,3003,296,162,18
2022-06-04,2774,187,169,14
2022-06-05,4216,168,176,17
2022-06-06,945,102,144,14
2022-06-07,1624,93,171,10
2022-06-08,4628,131,160,5
2022-06-09,3653,228,111,19
2022-06-10,2155,194,136,12
2022-06-11,2922,114,97,15
2022-06-12,2281,76,186,11
2022-06-13,1807,185,53,11
2022-06-14,2131,232,150,12
2022-06-15,2556,132,110,7
2022-06-16,3884,236,109,6
2022-06-17,2515,125,138,16
2022-06-18,686,107,138,6
2022-06-19,4466,236,149,10
2022-06-20,4549,254,115,19
2022-06-21,2659,63,134,14
2022-06-22,4540,250,57,7
2022-06-23,4843,282,136,6
2022-06-24,1504,68,94,14
2022-06-25,3456,195,82,17
2022-06-26,4296,220,83,6
2022-06-27,4671,94,127,19
2022-06-28,3793,276,179,9
2022-06-29,1564,253,53,5
2022-06-30,712,137,112,8
2022-07-01,1633,120,150,14
2022-07-02,4699,256,77,11
2022-07-03,1080,96,148,17
2022-07-04,994,104,159,10
2022-07-05,1387,228,130,10
2022-07-06,4569,93,164,9
2022-07-07,4580,115,65,12
2022-07-08,3096,256,130,19
2022-07-09,4932,151,150,18
2022-07-10,3014,56,57,10
2022-07-11,665,171,90,6
2022-07-12,1234,225,88,7
2022-07-13,873,222,159,7
2022-07-14,2018,59,87,6
2022-07-15,3757,53,163,6
2022-07-16,4861,187,151,15
2022-07-17,3285,173,136,6
2022-07-18,1700,294,99,14
2022-07-19,4282,84,80,15
2022-07-20,3047,272,121,9
2022-07-21,4954,51,103,13
2022-07-22,3994,88,153,14
2022-07-23,535,256,186,7
2022-07-24,560,258,68,10
2022-07-25,2321,144,75,12
2022-07-26,4751,228,52,6
2022-07-27,1557,191,154,6
2022-07-28,4458,136,153,17
2022-07-29,1935,96,147,12
2022-07-30,3800,277,53,5
2022-07-31,556,137,76,6
2022-08-01,4318,87,161,11
2022-08-02,3089,143,163,13
2022-08-03,2789,287,165,11
2022-08-04,3473,284,115,15
2022-08-05,1457,140,156,12
2022-08-06,2094,132,132,12
2022-08-07,4710,264,121,7
2022-08-08,3844,56,119,10
2022-08-09,4440,124,108,16
2022-08-10,2561,221,151,9
2022-08-11,1269,51,197,7
2022-08-12,4335,251,84,18
2022-08-13,4854,268,138,6
2022-08-14,2358,226,144,14
2022-08-15,2695,129,178,11
2022-08-16,3048,195,159,15
2022-08-17,4334,69,97,8
2022-08-18,4242,197,170,18
2022-08-19,2075,115,54,9
2022-08-20,3493,205,114,10
2022-08-21,1806,293,110,11
2022-08-22,4967,278,118,8
2022-08-23,1664,213,55,12
2022-08-24,3813,59,72,13
2022-08-25,1460,283,133,17
2022-08-26,2805,63,126,9
2022-08-27,3992,231,111,6
2022-08-28,4446,120,82,17
2022-08-29,2034,266,80,17
2022-08-30,3246,60,134,19
2022-08-31,3280,171,198,14
2022-09-01,1729,93,119,9
2022-09-02,1833,151,138,12
2022-09-03,2234,183,199,8
2022-09-04,4099,218,120,17
2022-09-05,1681,294,63,7
2022-09-06,3504,65,129,19
2022-09-07,3014,64,161,12
2022-09-08,3345,263,93,9
2022-09-09,2583,50,117,9
2022-09-10,3847,85,59,13
2022-09-11,4484,147,104,5
2022-09-12,4107,192,138,12
2022-09-13,4951,56,172,18
2022-09-14,2230,138,105,12
2022-09-15,4677,296,99,16
2022-09-16,3488,53,70,13
2022-09-17,2586,118,111,10
2022-09-18,862,151,90,16
2022-09-19,2403,282,176,18
2022-09-20,4367,145,117,5
2022-09-21,1959,205,87,5
2022-09-22,2954,164,181,19
2022-09-23,3225,283,83,14
2022-09-24,1042,117,139,16
2022-09-25,2299,84,72,18
2022-09-26,739,219,116,17
2022-09-27,2942,63,107,13
2022-09-28,3393,177,108,16
2022-09-29,2438,163,170,12
2022-09-30,560,195,97,17
2022-10-01,524,156,83,13
2022-10-02,4756,218,168,7
2022-10-03,3936,287,57,9
2022-10-04,867,252,79,11
2022-10-05,4712,88,70,5
2022-10-06,2520,92,83,12
2022-10-07,4612,117,163,13
2022-10-08,4572,77,170,10
2022-10-09,2756,238,60,9
2022-10-10,1314,193,126,8
2022-10-11,3154,292,97,14
2022-10-12,2376,212,180,10
2022-10-13,4363,278,103,13
2022-10-14,4227,284,119,8
2022-10-15,4768,153,197,12
2022-10-16,2091,228,178,15
2022-10-17,3983,94,195,18
2022-10-18,4299,134,160,17
2022-10-19,4161,102,108,16
2022-10-20,932,203,190,11
2022-10-21,2507,253,129,16
2022-10-22,3410,222,168,8
2022-10-23,877,131,134,14
2022-10-24,4827,183,172,6
2022-10-25,1381,133,185,18
2022-10-26,2320,249,160,10
2022-10-27,3816,118,73,7
2022-10-28,2616,145,70,11
2022-10-29,3004,143,119,13
2022-10-30,870,156,57,6
2022-10-31,2084,292,86,18
2022-11-01,2135,141,161,14
2022-11-02,2619,210,187,14
2022-11-03,3061,285,75,14
2022-11-04,629,219,83,10
2022-11-05,4795,260,114,19
2022-11-06,4237,207,133,18
2022-11-07,1624,191,52,12
2022-11-08,3137,292,66,15
2022-11-09,3750,158,176,16
2022-11-10,1935,187,137,17
2022-11-11,4692,104,111,11
2022-11-12,2079,186,108,9
2022-11-13,4359,75,164,8
2022-11-14,1825,211,75,13
2022-11-15,600,67,172,12
2022-11-16,4932,291,195,15
2022-11-17,4708,225,90,15
2022-11-18,3806,66,110,14
2022-11-19,872,99,131,16
2022-11-20,4488,112,161,14
2022-11-21,3668,121,74,9
2022-11-22,2006,144,83,12
2022-11-23,4937,258,59,12
2022-11-24,1526,136,87,9
2022-11-25,4027,215,152,16
2022-11-26,2751,59,189,11
2022-11-27,743,224,66,17
2022-11-28,874,190,133,18
2022-11-29,4661,138,111,7
2022-11-30,3012,175,172,12
2022-12-01,4806,167,171,14
2022-12-02,3970,200,162,15
2022-12-03,1301,234,59,16
2022-12-04,3292,128,92,8
2022-12-05,4971,95,76,17
2022-12-06,4483,83,169,5
2022-12-07,2528,240,168,12
2022-12-08,1943,54,92,10
2022-12-09,3285,119,112,12
2022-12-10,1445,175,61,5
2022-12-11,1348,126,175,8
2022-12-12,4780,219,80,15
2022-12-13,819,190,136,18
2022-12-14,1966,50,79,6
2022-12-15,3678,247,82,5
2022-12-16,3015,200,90,13
2022-12-17,2593,283,168,7
2022-12-18,2098,147,192,16
2022-12-19,3594,227,52,9
2022-12-20,4221,165,83,18
2022-12-21,1856,115,92,15
2022-12-22,2718,188,86,8
2022-12-23,1259,248,178,10
2022-12-24,4996,172,100,18
2022-12-25,3887,66,88,14
2022-12-26,4869,249,105,8
2022-12-27,1840,205,62,9
2022-12-28,1377,88,175,8
2022-12-29,4777,157,65,8
2022-12-30,581,134,76,12
2022-12-31,4113,219,66,11
2023-01-01,2746,260,132,15
2023-01-02,4624,165,181,9
2023-01-03,4523,284,108,17
2023-01-04,4774,248,152,13
2023-01-05,4170,216,121,13
2023-01-06,2302,212,107,6
2023-01-07,4127,163,198,6
2023-01-08,3503,252,162,17
2023-01-09,1938,153,116,10
2023-01-10,1666,90,110,18
2023-01-11,2535,90,60,16
2023-01-12,1580,205,101,5
2023-01-13,2396,144,148,14
2023-01-14,2691,214,50,9
2023-01-15,1131,148,120,11
2023-01-16,3549,109,63,8
2023-01-17,2856,139,75,7
2023-01-18,3659,205,141,8
2023-01-19,3478,234,97,5
2023-01-20,937,177,119,10
2023-01-21,3320,236,155,16
2023-01-22,4463,81,73,5
2023-01-23,2702,98,74,7
2023-01-24,1992,285,71,16
2023-01-25,2937,176,63,7
2023-01-26,2821,181,116,13
2023-01-27,2488,114,179,13
2023-01-28,2860,87,108,5
2023-01-29,2708,297,102,18
2023-01-30,837,217,178,17
2023-01-31,573,62,176,13
2023-02-01,1240,134,64,12
2023-02-02,2898,253,150,6
2023-02-03,3901,126,185,16
2023-02-04,4960,170,98,18
2023-02-05,3748,164,123,11
2023-02-06,1239,269,158,11
2023-02-07,3915,225,99,17
2023-02-08,916,107,54,7
2023-02-09,2860,199,66,7
2023-02-10,912,158,194,6
2023-02-11,4767,62,113,8
2023-02-12,678,289,194,18
2023-02-13,3362,195,154,14
2023-02-14,2656,217,52,19
2023-02-15,2969,209,82,10
2023-02-16,3180,161,120,16
2023-02-17,2550,207,72,19
2023-02-18,1285,233,171,10
2023-02-19,4739,243,176,7
2023-02-20,1207,87,54,6
2023-02-21,1865,50,54,11
2023-02-22,3665,73,125,7
2023-02-23,1323,191,125,16
2023-02-24,2725,186,126,14
2023-02-25,1144,262,187,10
2023-02-26,589,103,85,6
2023-02-27,2791,260,184,17
2023-02-28,4195,130,81,9
2023-03-01,3693,63,77,8
2023-03-02,3156,186,60,8
2023-03-03,2895,184,151,6
2023-03-04,3352,205,129,10
2023-03-05,1907,215,76,9
2023-03-06,887,213,119,8
2023-03-07,2182,90,82,14
2023-03-08,705,204,87,18
2023-03-09,2599,144,132,8
2023-03-10,2816,254,127,12
2023-03-11,3414,235,116,13
2023-03-12,4178,95,178,19
2023-03-13,4292,130,114,9
2023-03-14,2613,108,187,8
2023-03-15,2636,201,112,18
2023-03-16,665,292,53,18
2023-03-17,934,284,183,7
2023-03-18,2468,250,131,14
2023-03-19,1728,297,68,14
2023-03-20,1528,296,95,17
2023-03-21,1698,258,114,9
2023-03-22,4482,295,167,18
2023-03-23,3813,175,88,14
2023-03-24,3906,68,158,18
2023-03-25,4088,252,67,10
2023-03-26,1474,193,196,8
2023-03-27,1727,280,184,19
2023-03-28,3082,175,104,9
2023-03-29,1992,138,178,9
2023-03-30,4267,278,87,14
2023-03-31,1654,289,86,6
2023-04-01,2161,114,185,8
2023-04-02,2164,181,95,6
2023-04-03,3923,268,189,13
2023-04-04,684,198,182,18
2023-04-05,4282,289,88,16
2023-04-06,2738,225,174,18
2023-04-07,3265,240,90,7
2023-04-08,2176,147,112,16
2023-04-09,793,74,120,13
2023-04-10,4551,260,130,15
2023-04-11,2863,90,99,16
2023-04-12,4935,187,58,6
2023-04-13,4380,122,71,15
2023-04-14,1884,249,100,19
2023-04-15,4579,270,194,17
2023-04-16,4369,289,135,11
2023-04-17,1576,91,60,14
2023-04-18,3198,69,186,16
2023-04-19,4296,264,156,6
2023-04-20,1140,117,95,6
2023-04-21,4251,297,198,6
2023-04-22,4634,256,54,9
2023-04-23,2006,177,98,14
2023-04-24,693,169,74,9
2023-04-25,1646,116,153,16
2023-04-26,3237,265,93,12
2023-04-27,4827,285,66,5
2023-04-28,1845,74,107,17
2023-04-29,1865,134,55,6
2023-04-30,2982,213,173,12
2023-05-01,1850,172,58,17
2023-05-02,3162,224,83,12
2023-05-03,2537,82,104,11
2023-05-04,984,84,114,7
2023-05-05,2699,92,52,16
2023-05-06,2670,142,137,14
2023-05-07,2630,87,116,19
2023-05-08,589,278,95,19
2023-05-09,1250,132,198,7
2023-05-10,3685,105,185,15
2023-05-11,655,156,74,17
2023-05-12,2037,85,149,7
2023-05-13,2813,281,112,12
2023-05-14,4711,149,144,6
2023-05-15,2373,115,199,18
2023-05-16,4991,143,137,15
2023-05-17,2795,198,195,19
2023-05-18,4077,279,119,11
2023-05-19,554,149,177,12
2023-05-20,1816,96,53,11
2023-05-21,3698,148,139,7
2023-05-22,519,141,199,17
2023-05-23,1507,112,184,6
2023-05-24,4281,112,72,18
2023-05-25,708,291,73,13
2023-05-26,3204,128,135,8
2023-05-27,2733,156,126,5
2023-05-28,2644,208,110,13
2023-05-29,2826,141,188,14
2023-05-30,1916,101,91,12
2023-05-31,2384,54,119,14
2023-06-01,1693,246,165,7
2023-06-02,2366,184,140,8
2023-06-03,602,283,166,17
2023-06-04,2128,91,194,6
2023-06-05,2656,53,179,14
2023-06-06,1407,217,128,15
2023-06-07,591,286,59,8
2023-06-08,2341,150,113,19
2023-06-09,1947,205,113,10
2023-06-10,3418,191,149,9
2023-06-11,1597,94,186,16
2023-06-12,2380,50,106,8
2023-06-13,4736,124,165,7
2023-06-14,3292,271,154,18
2023-06-15,1749,128,127,11
2023-06-16,4399,178,94,5
2023-06-17,4099,50,64,14
2023-06-18,1528,146,191,13
2023-06-19,2216,166,108,19
2023-06-20,4411,61,184,5
2023-06-21,2876,79,157,13
2023-06-22,3833,183,122,15
2023-06-23,1051,119,101,9
2023-06-24,835,235,64,18
2023-06-25,4419,80,160,8
2023-06-26,4381,68,78,11
2023-06-27,1162,156,144,13
2023-06-28,1741,66,58,9
2023-06-29,1297,169,157,7
2023-06-30,2301,131,106,9
2023-07-01,3967,253,129,10
2023-07-02,3441,59,148,12
2023-07-03,3419,187,87,7
2023-07-04,4294,268,152,8
2023-07-05,755,126,151,6
2023-07-06,1835,242,55,14
2023-07-07,2046,281,192,16
2023-07-08,2177,206,189,18
2023-07-09,4651,296,194,11
2023-07-10,907,127,126,15
2023-07-11,1881,137,148,6
2023-07-12,2111,236,114,11
2023-07-13,2409,171,170,10
2023-07-14,4748,226,107,18
2023-07-15,3909,205,194,5
2023-07-16,3718,157,177,12
2023-07-17,4659,203,182,12
2023-07-18,2065,262,150,10
2023-07-19,3493,161,53,15
2023-07-20,2910,126,183,14
2023-07-21,4699,74,100,6
2023-07-22,3839,55,177,5
2023-07-23,812,84,95,8
2023-07-24,1812,126,65,14
2023-07-25,873,237,167,18
2023-07-26,1333,93,141,13
2023-07-27,2573,257,175,17
2023-07-28,4544,109,61,8
2023-07-29,3468,71,177,7
2023-07-30,4743,278,84,16
2023-07-31,1448,291,63,6
2023-08-01,3004,158,185,6
2023-08-02,4642,62,149,13
2023-08-03,4631,162,132,11
2023-08-04,2757,148,160,6
2023-08-05,1675,183,90,16
2023-08-06,2609,70,115,18
2023-08-07,1705,174,77,5
2023-08-08,2658,209,193,17
2023-08-09,1179,148,193,17
2023-08-10,1758,73,91,18
2023-08-11,2401,69,56,18
2023-08-12,3487,135,176,19
2023-08-13,1094,97,106,17
2023-08-14,1986,56,184,5
2023-08-15,601,118,128,8
2023-08-16,2924,251,184,13
2023-08-17,4780,74,83,18
2023-08-18,2582,225,177,11
2023-08-19,1486,210,176,7
2023-08-20,1023,252,96,13
2023-08-21,3168,268,177,6
2023-08-22,3711,269,76,17
2023-08-23,2908,66,101,13
2023-08-24,4466,276,96,19
2023-08-25,3749,200,145,7
2023-08-26,4544,175,185,14
2023-08-27,4542,78,89,16
2023-08-28,3711,78,55,12
2023-08-29,4032,163,151,13
2023-08-30,3301,256,95,17
2023-08-31,2916,151,62,14
2023-09-01,2046,139,187,5
2023-09-02,1270,183,63,6
2023-09-03,1901,116,137,6
2023-09-04,575,213,74,6
2023-09-05,2466,253,187,7
2023-09-06,3623,229,118,13
2023-09-07,4509,127,136,19
2023-09-08,4590,277,151,12
2023-09-09,4215,234,154,11
2023-09-10,2820,273,103,18
2023-09-11,4378,272,148,6
2023-09-12,4856,55,191,13
2023-09-13,1415,79,62,6
2023-09-14,3716,141,79,12
2023-09-15,2930,299,62,9
2023-09-16,1164,231,98,13
2023-09-17,1791,243,85,13
2023-09-18,650,111,84,9
2023-09-19,4144,282,108,5
2023-09-20,1743,204,179,12
2023-09-21,2088,78,195,14
2023-09-22,2892,281,59,7
2023-09-23,3465,217,194,5
2023-09-24,2963,147,117,11
2023-09-25,1255,155,97,17
2023-09-26,4234,225,138,15
2023-09-27,4208,159,108,19
2023-09-28,1822,210,86,13
2023-09-29,3283,171,62,10
2023-09-30,810,54,76,12
2023-10-01,3142,232,52,14
2023-10-02,4363,178,72,18
2023-10-03,801,61,96,8
2023-10-04,2471,229,133,10
2023-10-05,1839,149,68,16
2023-10-06,2464,246,84,15
2023-10-07,1678,76,145,17
2023-10-08,4204,65,50,5
2023-10-09,3177,291,98,8
2023-10-10,916,270,181,18
2023-10-11,2322,156,61,16
2023-10-12,3899,194,162,5
2023-10-13,4692,166,90,13
2023-10-14,2225,120,52,9
2023-10-15,1013,298,109,19
2023-10-16,4074,145,60,13
2023-10-17,2913,52,182,8
2023-10-18,3690,67,159,5
2023-10-19,3022,292,177,14
2023-10-20,1539,115,140,11
2023-10-21,1726,210,157,8
2023-10-22,4251,275,58,15
2023-10-23,606,216,87,17
2023-10-24,4852,118,152,8
2023-10-25,2117,144,141,5
2023-10-26,3758,54,69,11
2023-10-27,3584,129,85,17
2023-10-28,931,177,174,17
2023-10-29,1290,71,124,10
2023-10-30,4968,171,99,7
2023-10-31,2518,165,196,10
2023-11-01,4382,152,54,6
2023-11-02,3896,60,99,6
2023-11-03,4462,66,63,19
2023-11-04,1330,52,194,13
2023-11-05,4376,96,154,14
2023-11-06,4423,239,111,9
2023-11-07,2720,224,148,18
2023-11-08,1221,160,67,5
2023-11-09,2788,82,74,14
2023-11-10,698,281,143,13
2023-11-11,762,201,116,9
2023-11-12,4004,239,96,12
2023-11-13,4673,179,59,10
2023-11-14,2941,86,157,12
2023-11-15,969,139,76,9
2023-11-16,2358,58,70,8
2023-11-17,1688,97,156,6
2023-11-18,784,141,116,14
2023-11-19,1470,50,102,15
2023-11-20,2038,213,89,6
2023-11-21,2969,76,133,13
2023-11-22,2258,240,166,5
2023-11-23,4549,161,185,11
2023-11-24,2039,230,81,19
2023-11-25,611,284,146,10
2023-11-26,2279,200,105,17
2023-11-27,2481,209,186,11
2023-11-28,3038,179,94,5
2023-11-29,4624,143,103,15
2023-11-30,2327,53,88,9
2023-12-01,809,53,93,17
2023-12-02,4366,148,58,11
2023-12-03,3941,166,170,9
2023-12-04,4386,214,82,18
2023-12-05,4793,220,66,6
2023-12-06,627,160,167,5
2023-12-07,671,70,125,14
2023-12-08,1607,283,129,16
2023-12-09,4658,183,101,9
2023-12-10,3774,266,160,8
2023-12-11,1743,133,110,14
2023-12-12,3412,232,68,19
2023-12-13,4762,279,90,13
2023-12-14,4327,53,54,17
2023-12-15,3954,133,188,8
2023-12-16,4309,201,147,18
2023-12-17,4401,98,136,12
2023-12-18,4381,144,160,12
2023-12-19,2903,208,134,19
2023-12-20,2798,267,183,8
2023-12-21,3292,185,108,17
2023-12-22,779,220,149,7
2023-12-23,1646,190,153,9
2023-12-24,4412,54,189,18
2023-12-25,4125,290,58,18
2023-12-26,3809,205,171,12
2023-12-27,1315,254,76,19
2023-12-28,2179,161,154,12
2023-12-29,3154,252,145,16
2023-12-30,2521,221,100,14
2023-12-31,1310,231,69,11
